Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
2664;-5.01;0.22;8.23;-0.08;0.35;-0.48;0.63;-0.07;1.47
2673;-5.02;0.31;8.11;-0.07;0.35;-0.48;0.70;-0.49;1.19
2681;-4.89;0.32;8.13;-0.07;0.35;-0.48;0.35;-0.98;1.05
2690;-4.97;0.29;8.22;-0.07;0.35;-0.48;-0.63;-1.12;0.42
2699;-5.02;0.34;8.27;-0.08;0.34;-0.50;-1.61;-1.33;0.21
2708;-4.96;0.40;8.54;-0.08;0.34;-0.50;-0.91;-1.40;0.56
2717;-5.05;0.36;8.35;-0.08;0.34;-0.50;-0.21;-1.40;0.63
2725;-4.97;0.40;8.41;-0.08;0.35;-0.48;0.00;-0.91;0.77
2734;-4.83;0.41;8.35;-0.08;0.35;-0.48;-0.21;-0.98;0.21
2743;-4.92;0.44;8.35;-0.08;0.35;-0.48;-0.49;-0.49;-0.07
2752;-5.05;0.45;8.40;-0.07;0.35;-0.48;-0.98;-0.77;-0.77
